# t Temp Pres Epot Etot
19.449739 2.030731 17.405790 -499.383850 -170.405457
19.499731 2.004678 16.141008 -526.485229 -201.727325
19.549723 2.014335 13.662930 -579.300598 -252.978363
19.599714 1.990742 13.056670 -592.237427 -269.737244
19.649706 2.040739 15.115808 -544.764404 -214.164703
19.699697 1.992329 14.824356 -549.254822 -226.497528
19.749689 2.015660 12.495700 -606.733643 -280.196716
19.799681 2.019092 14.797462 -554.605896 -227.513062
19.849672 1.991625 14.963792 -552.267578 -229.624268
19.899664 1.986252 14.383580 -563.075317 -241.302429
19.949656 1.986423 15.437974 -537.481628 -215.681122
19.999647 2.019329 14.384873 -563.875549 -236.744293
20.049639 1.986053 14.993358 -548.822388 -227.081818
20.099630 1.973194 15.964478 -533.818542 -214.161072
20.149622 2.029792 14.579025 -560.099121 -231.272827
20.199614 1.931862 14.680860 -553.166809 -240.205231
20.249605 2.030916 13.927340 -575.391785 -246.383453
20.299597 1.966842 15.669145 -533.300476 -214.672119
20.349588 1.992172 14.616790 -558.513062 -235.781250
20.399580 2.009423 14.189286 -570.104126 -244.577637
20.449572 1.986414 16.152874 -522.644104 -200.845062
20.499563 2.014705 14.556526 -559.150635 -232.768433
20.549555 1.962143 16.529856 -513.307495 -195.440308
20.599546 1.992657 15.707969 -533.883484 -211.073059
20.649538 1.981342 14.896430 -552.032837 -231.055359
20.699530 1.983860 15.586118 -538.081970 -216.696655
20.749521 2.007963 15.145806 -547.444275 -222.154297
20.799513 2.003236 15.383986 -542.444641 -217.920441
20.849504 2.026558 13.281640 -591.548889 -263.246521
20.899496 2.008078 14.319723 -564.211609 -238.902954
20.949488 2.004811 15.318189 -539.401001 -214.621704
20.999479 2.007730 14.038384 -570.265320 -245.013031
21.049471 2.029376 15.572553 -536.223206 -207.464264
21.099463 1.983338 13.425940 -583.331909 -262.031067
21.149454 1.978244 15.207143 -545.849182 -225.373688
21.199446 2.011962 15.292926 -543.242432 -217.304504
21.249437 1.971571 15.718554 -535.851135 -216.456573
21.299429 2.037015 15.834260 -536.279907 -206.283508
21.349421 2.027853 15.616843 -539.236450 -210.724182
21.399412 1.974397 16.801258 -509.315186 -189.462921
21.449404 2.012653 15.538627 -540.034058 -213.984253
21.499395 1.976261 15.353444 -543.328369 -223.174103
21.549387 1.990533 17.166023 -503.997772 -181.531464
21.599379 2.021970 16.088055 -530.792175 -203.233093
21.649370 2.049853 15.840671 -536.273438 -204.197327
21.699362 1.987218 14.641306 -559.125854 -237.196503
21.749353 2.025258 16.516466 -520.932373 -192.840607
21.799345 1.982056 14.629892 -557.419495 -236.326447
21.849337 2.017660 14.495131 -558.905029 -232.044098
21.899328 1.915517 15.089305 -545.629639 -235.315918
21.949320 2.018456 16.438078 -518.430664 -191.440735
21.999311 2.003868 13.980650 -570.529114 -245.902557
22.049303 2.040862 13.369267 -585.348267 -254.728607
22.099295 1.944088 14.193072 -562.488892 -247.546631
22.149286 1.951992 14.239590 -562.624390 -246.401672
22.199278 1.975515 15.368854 -537.791870 -217.758362
22.249269 1.977713 14.933261 -548.825867 -228.436371
22.299261 1.983930 16.608891 -515.073730 -193.677032
22.349253 1.999142 16.086794 -528.508240 -204.647308
22.399244 2.037653 16.053600 -528.916077 -198.816315
22.449236 2.004008 14.847301 -551.265686 -226.616455
22.499228 2.002108 9.258129 -540.319397 -215.977844
22.549219 1.988243 9.478783 -534.248962 -212.153625
22.599211 2.013363 9.226108 -542.859314 -216.694550
22.649202 2.000165 8.369401 -559.624756 -235.598114
22.699194 1.996373 8.056969 -565.687805 -242.275360
22.749186 2.022964 7.867379 -571.940979 -244.220825
22.799177 1.969496 7.964913 -567.115234 -248.056824
22.849169 1.968315 7.762489 -569.955200 -251.088226
22.899160 1.950727 9.141755 -541.338684 -225.320984
22.949152 1.969752 9.598554 -530.399353 -211.299500
22.999144 1.998365 9.451909 -536.459167 -212.723999
23.049135 2.023268 8.929708 -549.823303 -222.053894
23.099127 1.966563 8.608809 -554.823486 -236.240204
23.149118 2.012128 8.647941 -555.802063 -229.837341
23.199110 2.003526 8.379148 -564.891907 -240.320648
23.249102 1.983045 9.984113 -523.722534 -202.469177
23.299093 1.995750 8.895844 -548.452209 -225.140747
23.349085 1.985214 7.886043 -570.895996 -249.291260
23.399076 1.993008 8.147695 -562.850952 -239.983643
23.449068 1.998878 10.135955 -519.616150 -195.797943
23.499060 1.984779 10.099598 -519.576782 -198.042572
23.549051 2.021804 9.272742 -541.490540 -213.958252
23.599043 1.938227 10.946248 -499.936157 -185.943451
23.649035 2.025029 10.013341 -527.448914 -199.394196
23.699026 2.007913 9.598928 -532.191162 -206.909210
23.749018 2.021179 9.184281 -544.755371 -217.324432
23.799009 1.996819 8.205672 -567.075684 -243.591003
23.849001 2.038788 10.393989 -516.937988 -186.654327
23.898993 2.005126 9.213643 -540.572205 -215.741882
23.948984 1.955080 8.406927 -555.743774 -239.020782
23.998976 2.010671 8.095697 -566.061646 -240.332977
24.048967 1.938678 9.203309 -540.750244 -226.684448
24.098959 1.992981 9.677135 -533.034851 -210.171997
24.148951 1.979666 9.045869 -548.963501 -228.257599
24.198942 2.039270 9.528376 -538.175720 -207.813965
24.248934 2.005086 8.601707 -554.185303 -229.361420
24.298925 2.017760 7.874457 -568.806030 -241.928955
24.348917 1.985193 7.742021 -571.174988 -249.573730
24.398909 1.980687 8.430237 -554.977600 -234.106323
24.448900 1.953382 8.363954 -561.125732 -244.677765
24.498892 2.024015 9.542139 -535.185242 -207.294830
24.548883 2.004953 9.379251 -535.864685 -211.062347
24.598875 2.014640 8.043347 -568.928650 -242.556946
24.648867 1.969751 8.353003 -562.390015 -243.290375
24.698858 2.015549 9.282955 -540.862854 -214.343872
24.748850 1.979797 9.428178 -535.541748 -214.814667
24.798841 1.987521 8.815228 -550.483093 -228.504761
24.848833 1.969379 9.201873 -543.417236 -224.377899
24.898825 2.039850 10.760649 -509.446625 -178.990906
24.948816 2.005618 8.053503 -565.326660 -240.416504
24.998808 1.996915 9.518361 -533.168030 -209.667786
25.048800 1.984777 10.049064 -526.978638 -205.444702
25.098791 1.987721 10.110696 -525.659668 -203.648895
25.148783 2.013309 8.909031 -550.739990 -224.583923
25.198774 2.029921 8.532047 -552.465759 -223.618622
25.248766 2.011955 8.018803 -562.587769 -236.651001
25.298758 1.991694 7.026065 -587.077759 -264.423401
25.348749 1.980077 7.244922 -580.367249 -259.594849
25.398741 1.997933 9.891103 -518.293884 -194.628693
25.448732 2.010626 9.342623 -535.174316 -209.452850
25.498724 2.024647 7.981225 -568.186340 -240.193542
25.548716 2.000360 8.677520 -547.388916 -223.330688
25.598707 2.007226 8.369878 -559.455566 -234.284882
25.648699 2.036434 8.556483 -558.929138 -229.026886
25.698690 1.958326 9.594307 -538.286621 -221.037781
